Rock;(0, 0)
Herb;(22, 35)
Herb;(22, 36)
Herb;(22, 37)
Herb;(22, 38)
Herb;(22, 39)
Herb;(23, 0)
Herb;(23, 1)
Herb;(23, 2)
Herb;(23, 3)
Herb;(23, 4)
Herb;(23, 5)
Herb;(23, 6)
Herb;(23, 7)
Herb;(23, 8)
Herb;(23, 9)
Herb;(23, 10)
Herb;(23, 11)
Herb;(23, 12)
Herb;(23, 13)
Herb;(23, 14)
Herb;(23, 15)
Herb;(23, 16)
Herb;(23, 17)
Herb;(23, 18)
Herb;(23, 19)
Herb;(23, 20)
Herb;(23, 21)
Herb;(23, 22)
Herb;(23, 23)
Herb;(23, 24)
Herb;(23, 25)
Herb;(23, 26)
Herb;(23, 27)
Herb;(23, 28)
Herb;(23, 29)
Tree;(23, 30)
Tree;(23, 31)
Tree;(23, 32)
Tree;(23, 33)
Tree;(23, 34)
Tree;(23, 35)
Tree;(23, 36)
Herb;(23, 37)
Herb;(23, 38)
Tree;(23, 39)
Water;(24, 0)
Herb;(24, 1)
Herb;(24, 2)
Tree;(24, 3)
Herb;(24, 4)
Herb;(24, 5)
Herb;(24, 6)
Herb;(24, 7)
Herb;(24, 8)
Herb;(24, 9)
Herb;(24, 10)
Herb;(24, 11)
Herb;(24, 12)
Herb;(24, 13)
Herb;(24, 14)
Herb;(24, 15)
Herb;(24, 16)
Herb;(24, 17)
Herb;(24, 18)
Herb;(24, 19)
Herb;(24, 20)
Herb;(24, 21)
Herb;(24, 22)
Herb;(24, 23)
Herb;(24, 24)
Herb;(24, 25)
Herb;(24, 26)
Herb;(24, 27)
Herb;(24, 28)
Herb;(24, 29)
Tree;(24, 30)
Tree;(24, 31)
Tree;(24, 32)
Tree;(24, 33)
Tree;(24, 34)
Tree;(24, 35)
Tree;(24, 36)
Tree;(24, 37)
Tree;(24, 38)
Tree;(24, 39)
Water;(25, 0)
Water;(25, 1)
Herb;(25, 2)
Herb;(25, 3)
Tree;(25, 4)
Tree;(25, 5)
Tree;(25, 6)
Tree;(25, 7)
Tree;(25, 8)
Tree;(25, 9)
Herb;(25, 10)
Herb;(25, 11)
Herb;(25, 12)
Tree;(25, 13)
Herb;(25, 14)
Herb;(25, 15)
Herb;(25, 16)
Herb;(25, 17)
Herb;(25, 18)
Tree;(25, 19)
Tree;(25, 20)
Tree;(25, 21)
Tree;(25, 22)
Tree;(25, 23)
Tree;(25, 24)
Tree;(25, 25)
Tree;(25, 26)
Tree;(25, 27)
Tree;(25, 28)
Tree;(25, 29)
Tree;(25, 30)
Tree;(25, 31)
Tree;(25, 32)
Tree;(25, 33)
Tree;(25, 34)
Herb;(25, 35)
Tree;(25, 36)
Herb;(25, 37)
Tree;(25, 38)
Tree;(25, 39)
Water;(26, 0)
Water;(26, 1)
Water;(26, 2)
Herb;(26, 3)
Herb;(26, 4)
Tree;(26, 5)
Tree;(26, 6)
Tree;(26, 7)
Tree;(26, 8)
Tree;(26, 9)
Herb;(26, 10)
Herb;(26, 11)
Herb;(26, 12)
Herb;(26, 13)
Tree;(26, 14)
Herb;(26, 15)
Tree;(26, 16)
Tree;(26, 17)
Tree;(26, 18)
Tree;(26, 19)
Tree;(26, 20)
Tree;(26, 21)
Tree;(26, 22)
Tree;(26, 23)
Tree;(26, 24)
Tree;(26, 25)
Tree;(26, 26)
Tree;(26, 27)
Tree;(26, 28)
Tree;(26, 29)
Tree;(26, 30)
Tree;(26, 31)
Tree;(26, 32)
Tree;(26, 33)
Tree;(26, 34)
Tree;(26, 35)
Tree;(26, 36)
Herb;(26, 37)
Tree;(26, 38)
Tree;(26, 39)
Water;(27, 0)
Water;(27, 1)
Water;(27, 2)
Water;(27, 3)
Water;(27, 4)
Herb;(27, 5)
Herb;(27, 6)
Tree;(27, 7)
Tree;(27, 8)
Tree;(27, 9)
Herb;(27, 10)
Herb;(27, 11)
Herb;(27, 12)
Herb;(27, 13)
Herb;(27, 14)
Herb;(27, 15)
Herb;(27, 16)
Rock;(27, 17)
Tree;(27, 18)
Tree;(27, 19)
Tree;(27, 20)
Tree;(27, 21)
Tree;(27, 22)
Tree;(27, 23)
Tree;(27, 24)
Tree;(27, 25)
Tree;(27, 26)
Tree;(27, 27)
Tree;(27, 28)
Tree;(27, 29)
Tree;(27, 30)
Tree;(27, 31)
Tree;(27, 32)
Tree;(27, 33)
Tree;(27, 34)
Tree;(27, 35)
Tree;(27, 36)
Tree;(27, 37)
Tree;(27, 38)
Tree;(27, 39)
Herb;(28, 0)
Water;(28, 1)
Water;(28, 2)
Water;(28, 3)
Water;(28, 4)
Herb;(28, 5)
Herb;(28, 6)
Tree;(28, 7)
Tree;(28, 8)
Tree;(28, 9)
Tree;(28, 10)
Herb;(28, 11)
Herb;(28, 12)
Herb;(28, 13)
Rock;(28, 14)
Herb;(28, 15)
Herb;(28, 16)
Rock;(28, 17)
Rock;(28, 18)
Tree;(28, 19)
Rock;(28, 20)
Herb;(28, 21)
Herb;(28, 22)
Herb;(28, 23)
Herb;(28, 24)
Tree;(28, 25)
Tree;(28, 26)
Tree;(28, 27)
Tree;(28, 28)
Tree;(28, 29)
Tree;(28, 30)
Tree;(28, 31)
Herb;(28, 32)
Herb;(28, 33)
Tree;(28, 34)
Tree;(28, 35)
Tree;(28, 36)
Tree;(28, 37)
Tree;(28, 38)
Tree;(28, 39)
Tree;(29, 0)
Herb;(29, 1)
Water;(29, 2)
Water;(29, 3)
Water;(29, 4)
Water;(29, 5)
Water;(29, 6)
Herb;(29, 7)
Herb;(29, 8)
Tree;(29, 9)
Tree;(29, 10)
Herb;(29, 11)
Herb;(29, 12)
Herb;(29, 13)
Herb;(29, 14)
Herb;(29, 15)
Herb;(29, 16)
Tree;(29, 17)
Rock;(29, 18)
Rock;(29, 19)
Herb;(29, 20)
Tree;(29, 21)
Tree;(29, 22)
Tree;(29, 23)
Herb;(29, 24)
Tree;(29, 25)
Herb;(29, 26)
Tree;(29, 27)
Tree;(29, 28)
Tree;(29, 29)
Tree;(29, 30)
Tree;(29, 31)
Tree;(29, 32)
Tree;(29, 33)
Tree;(29, 34)
Tree;(29, 35)
Tree;(29, 36)
Tree;(29, 37)
Tree;(29, 38)
Tree;(29, 39)
Tree;(30, 0)
Tree;(30, 1)
Tree;(30, 2)
Water;(30, 3)
Water;(30, 4)
Water;(30, 5)
Water;(30, 6)
Herb;(30, 7)
Herb;(30, 8)
Tree;(30, 9)
Herb;(30, 10)
Herb;(30, 11)
Rock;(30, 12)
Rock;(30, 13)
Herb;(30, 14)
Herb;(30, 15)
Herb;(30, 16)
Tree;(30, 17)
Tree;(30, 18)
Herb;(30, 19)
Herb;(30, 20)
Herb;(30, 21)
Rock;(30, 22)
Tree;(30, 23)
Herb;(30, 24)
Herb;(30, 25)
Tree;(30, 26)
Tree;(30, 27)
Tree;(30, 28)
Tree;(30, 29)
Tree;(30, 30)
Tree;(30, 31)
Tree;(30, 32)
Tree;(30, 33)
Herb;(30, 34)
Herb;(30, 35)
Tree;(30, 36)
Tree;(30, 37)
Tree;(30, 38)
Tree;(30, 39)
Herb;(31, 0)
Tree;(31, 1)
Tree;(31, 2)
Water;(31, 3)
Water;(31, 4)
Water;(31, 5)
Water;(31, 6)
Water;(31, 7)
Tree;(31, 8)
Herb;(31, 9)
Herb;(31, 10)
Herb;(31, 11)
Herb;(31, 12)
Rock;(31, 13)
Herb;(31, 14)
Herb;(31, 15)
Tree;(31, 16)
Tree;(31, 17)
Tree;(31, 18)
Tree;(31, 19)
Herb;(31, 20)
Herb;(31, 21)
Herb;(31, 22)
Herb;(31, 23)
Rock;(31, 24)
Tree;(31, 25)
Herb;(31, 26)
Herb;(31, 27)
Tree;(31, 28)
Tree;(31, 29)
Herb;(31, 30)
Tree;(31, 31)
Tree;(31, 32)
Tree;(31, 33)
Tree;(31, 34)
Tree;(31, 35)
Tree;(31, 36)
Tree;(31, 37)
Tree;(31, 38)
Tree;(31, 39)
Tree;(32, 0)
Tree;(32, 1)
Tree;(32, 2)
Tree;(32, 3)
Water;(32, 4)
Water;(32, 5)
Water;(32, 6)
